"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,,,Date,Annual
1958.708333,111.7153442,,,,,,1958.708333,15.08869954,PHCPI,,,,1958.708333,28.90,BLS,,,
1958.791667,111.5927149,,,,,,1958.791667,15.07213675,PHCPI,,,,1958.791667,28.90,BLS,,,
1958.875,111.4523254,,,,,,1958.875,15.10526233,PHCPI,,,,1958.875,29.00,BLS,,,
1958.958333,111.9606029,,,,,,1958.958333,15.12182512,PHCPI,,,,1958.958333,28.90,BLS,,,
1959.041667,111.3301189,,,,,,1959.041667,15.08869954,PHCPI,,,,1959.041667,29.00,BLS,,,
1959.125,111.5927149,,,,,,1959.125,15.07213675,PHCPI,,,,1959.125,28.90,BLS,,,
1959.208333,111.5927149,,,,,,1959.208333,15.07213675,PHCPI,,,,1959.208333,28.90,BLS,,,
1959.291667,111.2079124,,,,,,1959.291667,15.07213675,PHCPI,,,,1959.291667,29.00,BLS,,,
1959.375,111.6967384,,,,,,1959.375,15.1383879,PHCPI,,,,1959.375,29.00,BLS,,,
1959.458333,111.3129008,,,,,,1959.458333,15.1383879,PHCPI,,,,1959.458333,29.10,BLS,,,
1959.541667,110.5675838,,,,,,1959.541667,15.08869954,PHCPI,,,,1959.541667,29.20,BLS,,,
1959.625,110.4462144,,,,,,1959.625,15.07213675,PHCPI,,,,1959.625,29.20,BLS,,,
1959.708333,110.3111753,,,,,,1959.708333,15.10526233,PHCPI,,,,1959.708333,29.30,BLS,,,
1959.791667,110.5386863,,,,,,1959.791667,15.18807627,PHCPI,,,,1959.791667,29.40,BLS,,,
1959.875,110.6592302,,,,,,1959.875,15.20463905,PHCPI,,,,1959.875,29.40,BLS,,,
1959.958333,110.1770549,,,,,,1959.958333,15.1383879,PHCPI,,,,1959.958333,29.40,BLS,,,
1960.041667,110.9159515,,,,,,1960.041667,15.18807627,PHCPI,,,,1960.041667,29.30,BLS,,,
1960.125,110.5386863,,,,,,1960.125,15.18807627,PHCPI,,,,1960.125,29.40,BLS,,,
1960.208333,110.5386863,,,,,,1960.208333,15.18807627,PHCPI,,,,1960.208333,29.40,BLS,,,
1960.291667,110.1639789,,,,,,1960.291667,15.18807627,PHCPI,,,,1960.291667,29.50,BLS,,,
