Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
TDGXUSAM,"United States Exports of Goods, Balance of Payments Basis (Mil. of $, SA)",Balance of Payments,United States Dollar,United States,,,,,,,National Currency,Millions,Monthly,SA,Annual From Dec 1790 To Jul 1866<BR>Monthly From Aug 1866 To Feb 2019<BR>,"SOURCE: Pre 1866 data are from B. R. Mitchell, International Historical Statistics: The Americas 1750-2000, Fourth Edition, Stockton Press, 2003<br />Dat from   1866-1909 DATA ARE FROM MONTHLY SUMARY OF COMMERCE AND FINANCE, DECEMBER, 1910 SUPPLEMENT""CALENDAR YEAR STATEMENTS,"" 1910, PP. 1120-1126.  1910-JUNE, 1914 DATA ARE FROM SUCCESSIVE ISSUES OF MONTHLY SUMMARY OF COMMERCE AND FINANCE.  BEGINNING WITH JULY, 1914 ENTRIES, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE, SUCCESSIVE ISSUES. 1942-1944 DATA ARE FROM FOREIGN COMMERCE AND NAVIGATION; BEGINNING WITH 1945, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE OF THE UNITED STATES (ISSUED QUARTERLY BEGINNING IN APRIL, 1951.  BEGINNING WITH 1946 DATA, SEE SUMMARY REPORT  FT 900-E, TOTAL EXPORT TRADE.  REVISED BACK FIGURES MAY BE FOUND IN WORLD TRADE INFORMATION SERVICE   STATISTICAL REPORTS, PART 3, TOTAL EXPORT AND IMPORT TRADE OF THE UNITED STATES (THROUGH THE 1962 ISSUES); UNITED STATES DEPARTMENT OF COMMERCE, OVERSEAS BUSINESS (BUREAU OF INTERNATIONAL COMMERCE) 1962-1965 ISSUES; BUREAU OF THE CENSUS, HIGHLIGHTS OF UNITED STATES EXPORT AND IMPORT TRADE (FT 990), MONTHLY, BEGINNING IN 1967.  SCATTERED REVISIONS FOR 1946-1963 ARE FROM 1963 ISSUE OF FOREIGN COMMERCE AND NAVIGATION (PREPRINT TABLE /21/66).Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close,Percent_Gdp,Annual_Percent_Change,,,,,,,,,,
5/31/1950,TDGXUSAM,,,,10443.9,3.86,-17.89451341,,,,,,,,,,
6/30/1950,TDGXUSAM,,,,10213.1,3.77,-20.29608703,,,,,,,,,,
7/31/1950,TDGXUSAM,,,,10044.3,3.71,-20.87987397,,,,,,,,,,
8/31/1950,TDGXUSAM,,,,9899.7,3.66,-21.35542863,,,,,,,,,,
9/30/1950,TDGXUSAM,,,,9869.5,3.65,-21.49805525,,,,,,,,,,
10/31/1950,TDGXUSAM,,,,9867.7,3.65,-20.45320801,,,,,,,,,,
11/30/1950,TDGXUSAM,,,,9948.9,3.68,-19.91934705,,,,,,,,,,
12/31/1950,TDGXUSAM,,,,9992.9,3.12,-17.07893885,,,,,,,,,,
1/31/1951,TDGXUSAM,,,,10174.2,3.18,-12.94355218,,,,,,,,,,
2/28/1951,TDGXUSAM,,,,10390.9,3.25,-8.914076334,,,,,,,,,,
3/31/1951,TDGXUSAM,,,,10719.1,3.35,-3.246741524,,,,,,,,,,
4/30/1951,TDGXUSAM,,,,11202.4,3.5,4.603432499,,,,,,,,,,
5/31/1951,TDGXUSAM,,,,11598,3.62,11.05046965,,,,,,,,,,
6/30/1951,TDGXUSAM,,,,11902.6,3.72,16.54247976,,,,,,,,,,
7/31/1951,TDGXUSAM,,,,12272.1,3.84,22.17974374,,,,,,,,,,
8/30/1951,TDGXUSAM,,,,12686.8,3.97,26.30845355,,,,,,,,,,
9/30/1951,TDGXUSAM,,,,12957.4,4.05,31.28729926,,,,,,,,,,
10/31/1951,TDGXUSAM,,,,13197,4.12,33.73937189,,,,,,,,,,
11/30/1951,TDGXUSAM,,,,13577.7,4.24,36.4743841,,,,,,,,,,
12/31/1951,TDGXUSAM,,,,13967.4,3.92,39.773239,,,,,,,,,,
1/31/1952,TDGXUSAM,,,,14234.2,4,39.90485738,,,,,,,,,,
2/29/1952,TDGXUSAM,,,,14512.8,4.07,39.66836366,,,,,,,,,,
3/31/1952,TDGXUSAM,,,,14654.2,4.11,36.71110448,,,,,,,,,,
4/30/1952,TDGXUSAM,,,,14554.6,4.09,29.92394487,,,,,,,,,,
5/31/1952,TDGXUSAM,,,,14573.1,4.09,25.65183652,,,,,,,,,,
6/30/1952,TDGXUSAM,,,,14449.2,4.06,21.39532539,,,,,,,,,,
7/31/1952,TDGXUSAM,,,,14241,4,16.0437089,,,,,,,,,,
8/31/1952,TDGXUSAM,,,,14002.5,3.93,10.37062143,,,,,,,,,,
9/30/1952,TDGXUSAM,,,,13833.1,3.88,6.758300276,,,,,,,,,,
