Date,Ticker,Open,High,Low,Close,Real_Open,Real_High,Real_Low,Real_Close,Close_Percent_Change,Period_Change,,,,,,,
4/30/1990,CPUSAM,,,,128.9,,,,254.202,0.001554002,0.2,,,,,,,
5/31/1990,CPUSAM,,,,129.2,,,,254.202,0.002327386,0.3,,,,,,,
6/30/1990,CPUSAM,,,,129.9,,,,254.202,0.005417957,0.7,,,,,,,
7/31/1990,CPUSAM,,,,130.4,,,,254.202,0.003849115,0.5,,,,,,,
8/31/1990,CPUSAM,,,,131.6,,,,254.202,0.009202454,1.2,,,,,,,
9/30/1990,CPUSAM,,,,132.7,,,,254.202,0.008358663,1.1,,,,,,,
10/31/1990,CPUSAM,,,,133.5,,,,254.202,0.006028636,0.8,,,,,,,
11/30/1990,CPUSAM,,,,133.8,,,,254.202,0.002247191,0.3,,,,,,,
12/31/1990,CPUSAM,,,,133.8,,,,254.202,0,0,,,,,,,
1/31/1991,CPUSAM,,,,134.6,,,,254.202,0.005979073,0.8,,,,,,,
2/28/1991,CPUSAM,,,,134.8,,,,254.202,0.001485884,0.2,,,,,,,
3/31/1991,CPUSAM,,,,135,,,,254.202,0.00148368,0.2,,,,,,,
4/30/1991,CPUSAM,,,,135.2,,,,254.202,0.001481481,0.2,,,,,,,
5/31/1991,CPUSAM,,,,135.6,,,,254.202,0.00295858,0.4,,,,,,,
6/30/1991,CPUSAM,,,,136,,,,254.202,0.002949853,0.4,,,,,,,
7/31/1991,CPUSAM,,,,136.2,,,,254.202,0.001470588,0.2,,,,,,,
8/31/1991,CPUSAM,,,,136.6,,,,254.202,0.002936858,0.4,,,,,,,
9/30/1991,CPUSAM,,,,137.2,,,,254.202,0.004392387,0.6,,,,,,,
10/31/1991,CPUSAM,,,,137.4,,,,254.202,0.001457726,0.2,,,,,,,
11/30/1991,CPUSAM,,,,137.8,,,,254.202,0.002911208,0.4,,,,,,,
12/31/1991,CPUSAM,,,,137.9,,,,254.202,0.000725689,0.1,,,,,,,
1/31/1992,CPUSAM,,,,138.1,,,,254.202,0.001450326,0.2,,,,,,,
2/29/1992,CPUSAM,,,,138.6,,,,254.202,0.003620565,0.5,,,,,,,
3/31/1992,CPUSAM,,,,139.3,,,,254.202,0.005050505,0.7,,,,,,,
4/30/1992,CPUSAM,,,,139.5,,,,254.202,0.00143575,0.2,,,,,,,
5/31/1992,CPUSAM,,,,139.7,,,,254.202,0.001433692,0.2,,,,,,,
6/30/1992,CPUSAM,,,,140.2,,,,254.202,0.003579098,0.5,,,,,,,
7/31/1992,CPUSAM,,,,140.5,,,,254.202,0.0021398,0.3,,,,,,,
8/31/1992,CPUSAM,,,,140.9,,,,254.202,0.002846975,0.4,,,,,,,
9/30/1992,CPUSAM,,,,141.3,,,,254.202,0.002838893,0.4,,,,,,,
10/31/1992,CPUSAM,,,,141.8,,,,254.202,0.00353857,0.5,,,,,,,
11/30/1992,CPUSAM,,,,142,,,,254.202,0.001410437,0.2,,,,,,,
12/31/1992,CPUSAM,,,,141.9,,,,254.202,-0.000704225,-0.1,,,,,,,
1/31/1993,CPUSAM,,,,142.6,,,,254.202,0.004933051,0.7,,,,,,,
2/28/1993,CPUSAM,,,,143.1,,,,254.202,0.003506311,0.5,,,,,,,
3/31/1993,CPUSAM,,,,143.6,,,,254.202,0.00349406,0.5,,,,,,,
4/30/1993,CPUSAM,,,,144,,,,254.202,0.002785515,0.4,,,,,,,
5/31/1993,CPUSAM,,,,144.2,,,,254.202,0.001388889,0.2,,,,,,,
6/30/1993,CPUSAM,,,,144.4,,,,254.202,0.001386963,0.2,,,,,,,
7/31/1993,CPUSAM,,,,144.4,,,,254.202,0,0,,,,,,,
8/31/1993,CPUSAM,,,,144.8,,,,254.202,0.002770083,0.4,,,,,,,
9/30/1993,CPUSAM,,,,145.1,,,,254.202,0.002071823,0.3,,,,,,,
10/31/1993,CPUSAM,,,,145.7,,,,254.202,0.004135079,0.6,,,,,,,
11/30/1993,CPUSAM,,,,145.8,,,,254.202,0.000686342,0.1,,,,,,,
12/31/1993,CPUSAM,,,,145.8,,,,254.202,0,0,,,,,,,
1/31/1994,CPUSAM,,,,146.2,,,,254.202,0.002743484,0.4,,,,,,,
2/28/1994,CPUSAM,,,,146.7,,,,254.202,0.003419973,0.5,,,,,,,
3/31/1994,CPUSAM,,,,147.2,,,,254.202,0.003408316,0.5,,,,,,,
4/30/1994,CPUSAM,,,,147.4,,,,254.202,0.001358696,0.2,,,,,,,
5/31/1994,CPUSAM,,,,147.5,,,,254.202,0.000678426,0.1,,,,,,,
6/30/1994,CPUSAM,,,,148,,,,254.202,0.003389831,0.5,,,,,,,
7/31/1994,CPUSAM,,,,148.4,,,,254.202,0.002702703,0.4,,,,,,,
8/31/1994,CPUSAM,,,,149,,,,254.202,0.004043127,0.6,,,,,,,
9/30/1994,CPUSAM,,,,149.4,,,,254.202,0.002684564,0.4,,,,,,,
10/31/1994,CPUSAM,,,,149.5,,,,254.202,0.000669344,0.1,,,,,,,
11/30/1994,CPUSAM,,,,149.7,,,,254.202,0.001337793,0.2,,,,,,,
12/31/1994,CPUSAM,,,,149.7,,,,254.202,0,0,,,,,,,
1/31/1995,CPUSAM,,,,150.3,,,,254.202,0.004008016,0.6,,,,,,,
2/28/1995,CPUSAM,,,,150.9,,,,254.202,0.003992016,0.6,,,,,,,
3/31/1995,CPUSAM,,,,151.4,,,,254.202,0.003313453,0.5,,,,,,,
4/30/1995,CPUSAM,,,,151.9,,,,254.202,0.00330251,0.5,,,,,,,
5/31/1995,CPUSAM,,,,152.2,,,,254.202,0.001974984,0.3,,,,,,,
6/30/1995,CPUSAM,,,,152.5,,,,254.202,0.001971091,0.3,,,,,,,
7/31/1995,CPUSAM,,,,152.5,,,,254.202,0,0,,,,,,,
8/31/1995,CPUSAM,,,,152.9,,,,254.202,0.002622951,0.4,,,,,,,
9/30/1995,CPUSAM,,,,153.2,,,,254.202,0.001962067,0.3,,,,,,,
10/31/1995,CPUSAM,,,,153.7,,,,254.202,0.003263708,0.5,,,,,,,
11/30/1995,CPUSAM,,,,153.6,,,,254.202,-0.000650618,-0.1,,,,,,,
12/31/1995,CPUSAM,,,,153.5,,,,254.202,-0.000651042,-0.1,,,,,,,
1/31/1996,CPUSAM,,,,154.4,,,,254.202,0.005863192,0.9,,,,,,,
2/29/1996,CPUSAM,,,,154.9,,,,254.202,0.003238342,0.5,,,,,,,
3/31/1996,CPUSAM,,,,155.7,,,,254.202,0.005164622,0.8,,,,,,,
4/30/1996,CPUSAM,,,,156.3,,,,254.202,0.003853565,0.6,,,,,,,
5/31/1996,CPUSAM,,,,156.6,,,,254.202,0.001919386,0.3,,,,,,,
6/30/1996,CPUSAM,,,,156.7,,,,254.202,0.00063857,0.1,,,,,,,
7/31/1996,CPUSAM,,,,157,,,,254.202,0.001914486,0.3,,,,,,,
8/31/1996,CPUSAM,,,,157.3,,,,254.202,0.001910828,0.3,,,,,,,
9/30/1996,CPUSAM,,,,157.8,,,,254.202,0.00317864,0.5,,,,,,,
10/31/1996,CPUSAM,,,,158.3,,,,254.202,0.003168568,0.5,,,,,,,
11/30/1996,CPUSAM,,,,158.6,,,,254.202,0.001895136,0.3,,,,,,,
12/31/1996,CPUSAM,,,,158.6,,,,254.202,0,0,,,,,,,
1/31/1997,CPUSAM,,,,159.1,,,,254.202,0.003152585,0.5,,,,,,,
2/28/1997,CPUSAM,,,,159.6,,,,254.202,0.003142678,0.5,,,,,,,
3/31/1997,CPUSAM,,,,160,,,,254.202,0.002506266,0.4,,,,,,,
4/30/1997,CPUSAM,,,,160.2,,,,254.202,0.00125,0.2,,,,,,,
5/31/1997,CPUSAM,,,,160.1,,,,254.202,-0.00062422,-0.1,,,,,,,
6/30/1997,CPUSAM,,,,160.3,,,,254.202,0.001249219,0.2,,,,,,,
7/31/1997,CPUSAM,,,,160.5,,,,254.202,0.001247661,0.2,,,,,,,
8/31/1997,CPUSAM,,,,160.8,,,,254.202,0.001869159,0.3,,,,,,,
9/30/1997,CPUSAM,,,,161.2,,,,254.202,0.002487562,0.4,,,,,,,
10/31/1997,CPUSAM,,,,161.6,,,,254.202,0.00248139,0.4,,,,,,,
11/30/1997,CPUSAM,,,,161.5,,,,254.202,-0.000618812,-0.1,,,,,,,
12/31/1997,CPUSAM,,,,161.3,,,,254.202,-0.00123839,-0.2,,,,,,,
1/31/1998,CPUSAM,,,,161.6,,,,254.202,0.001859888,0.3,,,,,,,
2/28/1998,CPUSAM,,,,161.9,,,,254.202,0.001856436,0.3,,,,,,,
3/31/1998,CPUSAM,,,,162.2,,,,254.202,0.001852996,0.3,,,,,,,
4/30/1998,CPUSAM,,,,162.5,,,,254.202,0.001849568,0.3,,,,,,,
5/31/1998,CPUSAM,,,,162.8,,,,254.202,0.001846154,0.3,,,,,,,
6/30/1998,CPUSAM,,,,163,,,,254.202,0.001228501,0.2,,,,,,,
7/31/1998,CPUSAM,,,,163.2,,,,254.202,0.001226994,0.2,,,,,,,
8/31/1998,CPUSAM,,,,163.4,,,,254.202,0.00122549,0.2,,,,,,,
9/30/1998,CPUSAM,,,,163.6,,,,254.202,0.00122399,0.2,,,,,,,
10/31/1998,CPUSAM,,,,164,,,,254.202,0.002444988,0.4,,,,,,,
11/30/1998,CPUSAM,,,,164,,,,254.202,0,0,,,,,,,
12/31/1998,CPUSAM,,,,163.9,,,,254.202,-0.000609756,-0.1,,,,,,,
1/31/1999,CPUSAM,,,,164.3,,,,254.202,0.002440513,0.4,,,,,,,
2/28/1999,CPUSAM,,,,164.5,,,,254.202,0.001217285,0.2,,,,,,,
3/31/1999,CPUSAM,,,,165,,,,254.202,0.003039514,0.5,,,,,,,
4/30/1999,CPUSAM,,,,166.2,,,,254.202,0.007272727,1.2,,,,,,,
5/31/1999,CPUSAM,,,,166.2,,,,254.202,0,0,,,,,,,
6/30/1999,CPUSAM,,,,166.2,,,,254.202,0,0,,,,,,,
7/31/1999,CPUSAM,,,,166.7,,,,254.202,0.003008424,0.5,,,,,,,
8/31/1999,CPUSAM,,,,167.1,,,,254.202,0.00239952,0.4,,,,,,,
9/30/1999,CPUSAM,,,,167.9,,,,254.202,0.004787552,0.8,,,,,,,
10/31/1999,CPUSAM,,,,168.2,,,,254.202,0.001786778,0.3,,,,,,,
11/30/1999,CPUSAM,,,,168.3,,,,254.202,0.00059453,0.1,,,,,,,
12/31/1999,CPUSAM,,,,168.3,,,,254.202,0,0,,,,,,,
1/31/2000,CPUSAM,,,,168.8,,,,254.202,0.002970885,0.5,,,,,,,
2/29/2000,CPUSAM,,,,169.8,,,,254.202,0.005924171,1,,,,,,,
3/31/2000,CPUSAM,,,,171.2,,,,254.202,0.008244994,1.4,,,,,,,
4/30/2000,CPUSAM,,,,171.3,,,,254.202,0.000584112,0.1,,,,,,,
5/31/2000,CPUSAM,,,,171.5,,,,254.202,0.001167542,0.2,,,,,,,
6/30/2000,CPUSAM,,,,172.4,,,,254.202,0.005247813,0.9,,,,,,,
7/31/2000,CPUSAM,,,,172.8,,,,254.202,0.002320186,0.4,,,,,,,
8/31/2000,CPUSAM,,,,172.8,,,,254.202,0,0,,,,,,,
9/30/2000,CPUSAM,,,,173.7,,,,254.202,0.005208333,0.9,,,,,,,
10/31/2000,CPUSAM,,,,174,,,,254.202,0.001727116,0.3,,,,,,,
11/30/2000,CPUSAM,,,,174.1,,,,254.202,0.000574713,0.1,,,,,,,
12/31/2000,CPUSAM,,,,174,,,,254.202,-0.000574383,-0.1,,,,,,,
1/31/2001,CPUSAM,,,,175.1,,,,254.202,0.006321839,1.1,,,,,,,
2/28/2001,CPUSAM,,,,175.8,,,,254.202,0.003997716,0.7,,,,,,,
3/31/2001,CPUSAM,,,,176.2,,,,254.202,0.002275313,0.4,,,,,,,
4/30/2001,CPUSAM,,,,176.9,,,,254.202,0.003972758,0.7,,,,,,,
5/31/2001,CPUSAM,,,,177.7,,,,254.202,0.004522329,0.8,,,,,,,
6/30/2001,CPUSAM,,,,178,,,,254.202,0.001688239,0.3,,,,,,,
7/31/2001,CPUSAM,,,,177.5,,,,254.202,-0.002808989,-0.5,,,,,,,
8/31/2001,CPUSAM,,,,177.5,,,,254.202,0,0,,,,,,,
9/30/2001,CPUSAM,,,,178.3,,,,254.202,0.004507042,0.8,,,,,,,
10/31/2001,CPUSAM,,,,177.7,,,,254.202,-0.003365115,-0.6,,,,,,,
11/30/2001,CPUSAM,,,,177.4,,,,254.202,-0.001688239,-0.3,,,,,,,
12/31/2001,CPUSAM,,,,176.7,,,,254.202,-0.003945885,-0.7,,,,,,,
1/31/2002,CPUSAM,,,,177.1,,,,254.202,0.002263724,0.4,,,,,,,
2/28/2002,CPUSAM,,,,177.8,,,,254.202,0.003952569,0.7,,,,,,,
3/31/2002,CPUSAM,,,,178.8,,,,254.202,0.005624297,1,,,,,,,
4/30/2002,CPUSAM,,,,179.8,,,,254.202,0.005592841,1,,,,,,,
5/31/2002,CPUSAM,,,,179.8,,,,254.202,0,0,,,,,,,
6/30/2002,CPUSAM,,,,179.9,,,,254.202,0.000556174,0.1,,,,,,,
7/31/2002,CPUSAM,,,,180.1,,,,254.202,0.001111729,0.2,,,,,,,
8/31/2002,CPUSAM,,,,180.7,,,,254.202,0.003331483,0.6,,,,,,,
9/30/2002,CPUSAM,,,,181,,,,254.202,0.00166021,0.3,,,,,,,
10/31/2002,CPUSAM,,,,181.3,,,,254.202,0.001657459,0.3,,,,,,,
11/30/2002,CPUSAM,,,,181.3,,,,254.202,0,0,,,,,,,
12/31/2002,CPUSAM,,,,180.9,,,,254.202,-0.002206288,-0.4,,,,,,,
1/31/2003,CPUSAM,,,,181.7,,,,254.202,0.004422333,0.8,,,,,,,
2/28/2003,CPUSAM,,,,183.1,,,,254.202,0.007705008,1.4,,,,,,,
3/31/2003,CPUSAM,,,,184.2,,,,254.202,0.006007646,1.1,,,,,,,
4/30/2003,CPUSAM,,,,183.8,,,,254.202,-0.002171553,-0.4,,,,,,,
5/31/2003,CPUSAM,,,,183.5,,,,254.202,-0.001632209,-0.3,,,,,,,
6/30/2003,CPUSAM,,,,183.7,,,,254.202,0.001089918,0.2,,,,,,,
7/31/2003,CPUSAM,,,,183.9,,,,254.202,0.001088732,0.2,,,,,,,
8/31/2003,CPUSAM,,,,184.6,,,,254.202,0.003806417,0.7,,,,,,,
9/30/2003,CPUSAM,,,,185.2,,,,254.202,0.003250271,0.6,,,,,,,
10/31/2003,CPUSAM,,,,185,,,,254.202,-0.001079914,-0.2,,,,,,,
