"date","housing_price"
1998-06-17,118.4373058
1998-07-17,119.1627382
1998-08-17,119.7344924
1998-09-16,120.0380363
1998-10-16,120.0675248
1998-11-16,120.3245532
1998-12-16,120.7204274
1999-01-16,120.7781542
1999-02-15,120.9786111
1999-03-18,121.4302936
1999-04-17,121.6182555
1999-05-17,122.8091398
1999-06-17,124.1004447
1999-07-17,124.7910228
1999-08-17,125.3950594
1999-09-16,125.4398856
1999-10-16,125.7695304
1999-11-16,126.1003707
1999-12-16,126.6012937
2000-01-16,126.7612222
2000-02-15,126.7329734
2000-03-17,126.816464
2000-04-16,128.085228
2000-05-17,129.3843857
2000-06-16,130.1412234
2000-07-17,130.9123119
2000-08-16,131.9029273
2000-09-16,131.9746186
2000-10-16,132.4763058
2000-11-16,133.0921538
2000-12-16,133.7847381
2001-01-16,133.4611935
2001-02-15,133.4507133
2001-03-18,134.0609708
2001-04-17,134.5622497
2001-05-17,135.1063935
2001-06-17,136.1661301
2001-07-17,137.7009314
2001-08-17,138.6195082
2001-09-16,138.5687819
2001-10-16,139.2955431
2001-11-16,139.7204721
2001-12-16,140.5367509
2002-01-16,140.680867
2002-02-15,140.7046601
2002-03-18,141.131192
2002-04-17,141.8695355
2002-05-17,143.7486417
2002-06-17,145.5051695
2002-07-17,146.949869
2002-08-17,147.6958009
2002-09-16,148.3541798
2002-10-16,148.8663937
2002-11-16,149.4635824
2002-12-16,150.3961289
2003-01-16,150.3251191
2003-02-15,149.9645323
2003-03-18,150.2108647
2003-04-17,151.9114763
2003-05-17,153.7351869
2003-06-17,155.1798876
2003-07-17,156.6644964
2003-08-17,157.5981432
2003-09-16,158.372328
2003-10-16,159.586804
2003-11-16,160.9366468
2003-12-16,162.1144002
2004-01-16,162.5720669
2004-02-15,163.2204456
2004-03-17,164.5159632
2004-04-16,166.3776211
2004-05-17,167.845989
2004-06-16,169.7774352
2004-07-17,172.1013529
2004-08-16,173.6782811
2004-09-16,174.7704858
2004-10-16,175.1910477
2004-11-16,176.4414167
2004-12-16,178.4127313
2005-01-16,179.6789261
2005-02-15,180.6520679
2005-03-18,182.1836261
2005-04-17,183.6252903
2005-05-17,186.6121436
2005-06-17,189.2345905
2005-07-17,190.643979
2005-08-17,191.6626685
2005-09-16,191.1678188
2005-10-16,192.0117141
2005-11-16,194.5670265
2005-12-16,195.8298206
2006-01-16,195.1254121
2006-02-15,195.4562609
2006-03-18,195.716703
2006-04-17,195.0190817
2006-05-17,194.8294971
2006-06-17,194.6236303
2006-07-17,194.1160437
2006-08-17,193.5232582
2006-09-16,194.2598025
2006-10-16,195.166015
2006-11-16,195.0063389
2006-12-16,194.2891288
2007-01-16,193.1555711
2007-02-15,191.8668534
2007-03-18,189.8469082
2007-04-17,188.558441
2007-05-17,187.1611143
2007-06-17,186.4458218
2007-07-17,185.9323888
2007-08-17,185.4928899
2007-09-16,183.8418498
2007-10-16,181.8200612
2007-11-16,178.3367465
2007-12-16,176.5962395
2008-01-16,173.4287805
2008-02-15,171.0182485
2008-03-17,168.2578815
2008-04-16,166.6658813
2008-05-17,164.9768214
2008-06-16,162.8615577
2008-07-17,161.2121982
2008-08-16,160.4567558
2008-09-16,158.3630395
2008-10-16,157.2590921
2008-11-16,157.2153419
2008-12-16,155.2705367
2009-01-16,151.3740283
2009-02-15,148.8663511
2009-03-18,147.3946637
2009-04-17,147.4570997
2009-05-17,148.2590283
2009-06-17,148.6093789
2009-07-17,149.7883135
2009-08-17,149.3708282
2009-09-16,148.2460793
2009-10-16,147.0740441
2009-11-16,146.3340315
2009-12-16,145.3328398
2010-01-16,143.1868025
2010-02-15,141.2289938
2010-03-18,141.1823625
2010-04-17,142.7062093
2010-05-17,144.1971958
2010-06-17,144.9899471
2010-07-17,144.8190032
2010-08-17,143.5029706
2010-09-16,141.6416465
2010-10-16,140.0283176
2010-11-16,138.6952036
2010-12-16,137.2984672
2011-01-16,135.1027085
2011-02-15,133.1799295
2011-03-18,131.939784
2011-04-17,132.391394
2011-05-17,133.2193779
2011-06-17,134.5480886
2011-07-17,134.8040339
2011-08-17,133.9072326
2011-09-16,132.1802015
2011-10-16,130.7930063
2011-11-16,129.2548664
2011-12-16,128.1550699
2012-01-16,126.6534043
2012-02-15,125.9412395
2012-03-17,126.739083
2012-04-16,128.7855144
2012-05-17,131.3361763
2012-06-16,133.5030115
2012-07-17,134.7567047
2012-08-16,134.4028607
2012-09-16,133.4877076
2012-10-16,133.1807366
2012-11-16,133.8110449
2012-12-16,134.084778
2013-01-16,134.0964011
2013-02-15,133.7858532
2013-03-18,136.0108373
2013-04-17,138.9276829
2013-05-17,141.3418302
2013-06-17,143.3603324
2013-07-17,145.0103711
2013-08-17,145.8507619
2013-09-16,145.9326378
2013-10-16,146.1958182
2013-11-16,146.3123279
2013-12-16,146.2523507
2014-01-16,145.8017467
2014-02-15,145.7321056
2014-03-18,145.9930926
2014-04-17,147.1172292
2014-05-17,148.1441087
2014-06-17,149.2387281
2014-07-17,150.1232373
2014-08-17,150.656916
2014-09-16,150.3584422
2014-10-16,150.4397421
2014-11-16,151.0308236
2014-12-16,151.718929
2015-01-16,152.2549967
2015-02-15,151.9530421
2015-03-18,152.3716372
2015-04-17,153.7536845
2015-05-17,154.6610343
2015-06-17,155.5566924
2015-07-17,156.4849851
2015-08-17,157.1091639
2015-09-16,157.4584394
2015-10-16,157.5409733
2015-11-16,157.9661545
2015-12-16,158.4869839
2016-01-16,158.1477494
2016-02-15,158.232464
2016-03-17,158.7365249
2016-04-16,159.6786312
2016-05-17,160.6865733
2016-06-16,161.5694674
2016-07-17,162.8263777
2016-08-16,163.2553259
2016-09-16,163.1279136
2016-10-16,162.9973719
2016-11-16,163.4481183
2016-12-16,163.5523911
2017-01-16,162.828582
2017-02-15,162.6490553
2017-03-18,163.8369536
2017-04-17,165.1087698
2017-05-17,166.7181404
2017-06-17,168.0895899
2017-07-17,169.3087813
2017-08-17,169.5423507
2017-09-16,169.0628902
2017-10-16,169.4014273
2017-11-16,169.7139259
2017-12-16,170.1704795
2018-01-16,169.4962117
2018-02-15,169.4245723
2018-03-18,170.4862439
2018-04-17,171.5636913
2018-05-17,172.4324862
2018-06-17,173.5184036
2018-07-17,174.2920961
2018-08-17,174.513551
2018-09-16,174.3618546
2018-10-16,174.056034
2018-11-16,174.4389123
2018-12-16,174.6588759
2019-01-16,174.0162298
